text_clean,text_preprocessed,polarity_score,polarity
jika rakyat sudah tidak percaya dan hilangnya kepercayaan terhadap pemerintah maka jurus terakhir oligarki pemerintah akan  memanfaatkan alat bantu negara  lumpuhkan akses mereka     didu,"['rakyat', 'percaya', 'hilang', 'percaya', 'perintah', 'jurus', 'oligarki', 'perintah', 'manfaat', 'alat', 'bantu', 'negara', 'lumpuh', 'akses', 'didu']",9,positif
baae    wkwkwkwkwkwkwkwkkkkk  kecewa donk,"['baae', 'wkwkwkwkwkwkwkwkkkkk', 'kecewa', 'donk']",0,netral
perjuangan nek ngomonge ngawur ngenekudu diajak nang notaris pekan duit,"['juang', 'nek', 'ngomonge', 'ngawur', 'ngenekudu', 'ajak', 'nang', 'notaris', 'pekan', 'duit']",-4,negatif
hut ke provinsi banten ridwan kamil dan anies baswedan kompak ucapkan selamat,"['hut', 'provinsi', 'banten', 'ridwan', 'kamil', 'anies', 'baswedan', 'kompak', 'ucap', 'selamat']",6,positif
saewad  para kadrun siap  mendompleng nasdem stlh gerindra tak bs didompleng ğŸ¤£ğŸ¤£,"['saewad', 'kadrun', 'dompleng', 'nasdem', 'stlh', 'gerindra', 'bs', 'dompleng', '']",-6,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          hahaha bukan maen dah serem bener yak ğŸ˜ğŸ˜‚ğŸ˜‚ğŸ¤­,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'hahaha', 'maen', 'dah', 'rem', 'bener', 'yak', '']",-7,negatif
wkwkwk,['wkwkwk'],3,positif
strategi  mengumumkan capres kontroversi dan lebih awal adalah agar nama mereka jadi perbincangan dikalangan masyarakat dan media  belum tentu jadi capres benaran,"['strategi', 'umum', 'capres', 'kontroversi', 'nama', 'bincang', 'kalang', 'masyarakat', 'media', 'capres', 'benar']",-3,negatif
tanggal  buzzerp bunuh diri masal ğŸ˜†ğŸ˜†ğŸ˜† amanlah indonesia the endğŸ˜†,"['tanggal', 'buzzerp', 'bunuh', 'masal', '', 'aman', 'indonesia', 'the', 'end']",-9,negatif
akhlak amp adab menjadikan  mkin bersinar di mata dunia,"['akhlak', 'amp', 'adab', 'jadi', 'mkin', 'sinar', 'mata', 'dunia']",3,positif
yuntho  ğŸ˜‚ğŸ¤£ğŸ˜…,"['yuntho', '']",0,netral
tinggal nunggu waktunya anies baswedan memakai rompi oranye,"['tinggal', 'nunggu', 'anies', 'baswedan', 'pakai', 'rompi', 'oranye']",-1,negatif
betuuulsiap dukung pks demokrat dan nasdem untuk memenangkan anies baswedan menuju indonesia maju dan damai ğŸ‘,"['betuuulsiap', 'dukung', 'pks', 'demokrat', 'nasdem', 'menang', 'anies', 'baswedan', 'indonesia', 'maju', 'damai', '']",3,positif
djelantik goodbye nasdem usai surya paloh dukung anies baswedan jadi capres  tak setuju  tribun medan,"['djelantik', 'goodbye', 'nasdem', 'surya', 'paloh', 'dukung', 'anies', 'baswedan', 'capres', 'tuju', 'tribun', 'medan']",0,netral
yuntho   panggung monyet yaman   halal  berkah  bersyariah,"['yuntho', 'panggung', 'monyet', 'yaman', 'halal', 'berkah', 'bersyariah']",1,positif
percaya sama guwe hut  kelak  bakal jadi partai besar pasca  jadi presiden dan perjuangan akan menjadi partai nyungsep di  nah setelah itu apa kamu juga akan menjilat lg di,"['percaya', 'guwe', 'hut', 'kelak', 'partai', 'pasca', 'presiden', 'juang', 'partai', 'nyungsep', 'jilat', 'lg']",2,positif
tak ada  kasus korupsi yg ditangani kpk tdk bisa dibuktikan di pengadilan tipikorsemua pelakunya pasti dihukum jd terkait formula e yg diindikasikan merugikan negara jika  jd salah satu orang yg di tskkan kpk bukan sama sekali berbau politik jgn sudutkan kpk,"['korupsi', 'yg', 'tangan', 'kpk', 'tdk', 'bukti', 'adil', 'tipikorsemua', 'laku', 'hukum', 'jd', 'kait', 'formula', 'e', 'yg', 'indikasi', 'rugi', 'negara', 'jd', 'salah', 'orang', 'yg', 'tskkan', 'kpk', 'bau', 'politik', 'jgn', 'sudut', 'kpk']",-18,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          lah kok sewot,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'sewot']",-8,negatif
sajak sudahlah saudaraku smua biarkan   nyapres boleh saja dan syah syah saja  tapi untuk jadi presiden  gak akan pernah bisa maka nya pak   jangan ngimpi ya bisa jadi presiden kita liat dan buktian bersama di,"['sajak', 'saudara', 'smua', 'biar', 'nyapres', 'syah', 'syah', 'presiden', 'gak', 'nya', 'ngimpi', 'ya', 'presiden', 'liat', 'bukti']",5,positif
wakil gubernur dki jakarta ahmad riza patria meyakini gubernur dki anies baswedan tak akan mencampuri urusan jakarta dengan politiknya sebagai capres  yang diusung partai nasdem,"['wakil', 'gubernur', 'dki', 'jakarta', 'ahmad', 'riza', 'patria', 'gubernur', 'dki', 'anies', 'baswedan', 'campur', 'urus', 'jakarta', 'politik', 'capres', 'usung', 'partai', 'nasdem']",4,positif
thinx galih  kalian  sdh mengambil keputusan yg salah dgn mencapreskan  ke dpn akan bertambah lg kader kalian yg akan mengundurkan diri politik itu bukan soal selera dan kepentingan tp diatas itu semua adlh soal integritas,"['thinx', 'galih', 'sdh', 'ambil', 'putus', 'yg', 'salah', 'dgn', 'mencapreskan', 'dpn', 'tambah', 'lg', 'kader', 'yg', 'undur', 'politik', 'selera', 'penting', 'tp', 'atas', 'adlh', 'integritas']",-11,negatif
yuntho   bagus sih ntar kalo ada ngulama yg suka nyinyir ntar dipancung juga kan di arab saudi ulama yg ngehoax dll dihukum mati pancung semua,"['yuntho', 'bagus', 'sih', 'ntar', 'kalo', 'ngulama', 'yg', 'suka', 'nyinyir', 'ntar', 'pancung', 'arab', 'saudi', 'ulama', 'yg', 'ngehoax', 'dll', 'hukum', 'mati', 'pancung']",-2,negatif
,[],0,netral
ini tindakan yang benar politisi harus bisa membedakan mana yang benar dan salah untuk kepentingan bangsa negara diatas kepentingan pribadi dan kelompoknya  dengan memilih anies baswedan menjadi capres partai nasdem sudah melacurksn dirinya dlm  kubangan kotor politk kpentingn,"['tindak', 'politis', 'beda', 'salah', 'penting', 'bangsa', 'negara', 'atas', 'penting', 'pribadi', 'kelompok', 'pilih', 'anies', 'baswedan', 'capres', 'partai', 'nasdem', 'melacurksn', 'dlm', 'kubang', 'kotor', 'politk', 'kpentingn']",-27,negatif
waketum gerindra habiburokhman buka suara terkait diusungnya anies baswedan sebagai capres oleh partai nasdem habiburokhman mengatakan saat ini gerindra fokus menangkan prabowo di pilpres,"['waketum', 'gerindra', 'habiburokhman', 'buka', 'suara', 'kait', 'usung', 'anies', 'baswedan', 'capres', 'partai', 'nasdem', 'habiburokhman', 'gerindra', 'fokus', 'menang', 'prabowo', 'pilpres']",2,positif
ima  yg mendekat siapa yg nyuruh jg siapa gk bs memahami konteks lu,"['ima', 'yg', 'dekat', 'yg', 'nyuruh', 'jg', 'gk', 'bs', 'paham', 'konteks', 'lu']",-6,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          aku marahkiamat dunia drunnn klo aku marah ğŸ¤£ğŸ¤£ğŸ¤£,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'marahkiamat', 'dunia', 'drunnn', 'klo', 'marah', '']",-10,negatif
sulsel for  in syaa allah ğŸ¤²â¤ï¸,"['sulsel', 'for', 'in', 'syaa', 'allah', '']",5,positif
partai yg tdk punya kader buat dijadikan capres taunya cuma ndompleng,"['partai', 'yg', 'tdk', 'kader', 'jadi', 'capres', 'tau', 'ndompleng']",-5,negatif
waras,['waras'],-1,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          ri nah gitu akur  kita nonton aja kelanjutannya gimana nanti ğŸ¤­,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'ri', 'gitu', 'akur', 'nonton', 'aja', 'lanjut', 'gimana', '']",-6,negatif
niluh djelantik mundur dari nasdem usai anies baswedan dijadikan capres,"['niluh', 'djelantik', 'mundur', 'nasdem', 'anies', 'baswedan', 'jadi', 'capres']",-1,negatif
evuset awoekwowkowk,"['evuset', 'awoekwowkowk']",0,netral
sejak kapan oportunis megang prinsip,"['oportunis', 'megang', 'prinsip']",0,netral
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          nah gitu baru kliatan pinter diiikiiittğŸ¤£ğŸ¤£ğŸ¤£lo daritadi maksa orang biar pelercaya ğŸ¤£ğŸ¤£kan goblok lu ğŸ¤£ğŸ¤£,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'gitu', 'kliatan', 'pinter', 'diiikiiitt lo', 'daritadi', 'maksa', 'orang', 'biar', 'pelercaya', 'kan', 'goblok', 'lu', '']",-12,negatif
karena ada di bahasa arab nasrunğŸ˜ğŸ˜ğŸ˜ğŸ˜‡ğŸ˜‡  bljar dlu kau sana apa penting nya bahasa arab di indonesia org arab aja sibuk bljar bahasa inggris ğŸ˜…,"['bahasa', 'arab', 'nasrun', 'bljar', 'dlu', 'kau', 'nya', 'bahasa', 'arab', 'indonesia', 'org', 'arab', 'aja', 'sibuk', 'bljar', 'bahasa', 'inggris', '']",-10,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          yg marah siapalo belum tentu anis kena hukum lo sewot duluan,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'yg', 'marah', 'siapalo', 'anis', 'kena', 'hukum', 'lo', 'sewot', 'duluan']",-16,negatif
jkt    ya kok sudah jadi berarti penawaran saya ditolak dong ğŸ™†â€â™‚ï¸ gagal maning saya ğŸ¤­,"['jkt', 'ya', 'tawar', 'tolak', '', 'gagal', 'maning', '']",-8,negatif
ima,['ima'],0,netral
gubernur dki jakarta anies baswedan hari ini senin  resmi diumumkan sebagai calon presiden dari partai nasional demokrat nasdem berapa kekayaannya,"['gubernur', 'dki', 'jakarta', 'anies', 'baswedan', 'senin', 'resmi', 'umum', 'calon', 'presiden', 'partai', 'nasional', 'demokrat', 'nasdem', 'kaya']",6,positif
sy orang waras bukan orang keturunan jadi insya allah dukung putra bangsa,"['sy', 'orang', 'waras', 'orang', 'turun', 'insya', 'allah', 'dukung', 'putra', 'bangsa']",6,positif
swara  elunya aja yang kudet pergerakan nasdem salah satu deklaratornya adalah anies baswedanğŸ˜†,"['swara', 'elu', 'aja', 'kudet', 'gera', 'nasdem', 'salah', 'deklaratornya', 'anies', 'baswedan']",-2,negatif
silahkan berkompetisi dengan fair jangan saling menjelekkan atau memfitnah sesama kontestan,"['silah', 'kompetisi', 'fair', 'jelek', 'fitnah', 'kontestan']",-4,negatif
yuntho  keturunan nabi  waktu kabur ke arab saudi  malah ngekost  mosok ada masa ijin tinggal  kaing pengen pulang dijemput ama kumis caplin sedih raja arab ngga ada yg mau demo gitu  drun ngarab pesek yok demo kedutaan arab saudi,"['yuntho', 'turun', 'nabi', 'kabur', 'arab', 'saudi', 'ngekost', 'mosok', 'ijin', 'tinggal', 'kaing', 'ken', 'pulang', 'jemput', 'ama', 'kumis', 'caplin', 'sedih', 'raja', 'arab', 'ngga', 'yg', 'demo', 'gitu', 'drun', 'ngarab', 'pesek', 'yok', 'demo', 'duta', 'arab', 'saudi']",-16,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          hahaha ebong marah dah ğŸ˜‚ğŸ¤­,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'hahaha', 'ebong', 'marah', 'dah', '']",-12,negatif
semoga dimudahkan segalanyaaamiin,"['moga', 'mudah', 'segalanyaaamiin']",4,positif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          ri sama ğŸ‘,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'ri', '']",-4,negatif
namanya aja nasional demokrat tapi usungannya bapak politik identitas penjual ayat dan mayat,"['nama', 'aja', 'nasional', 'demokrat', 'usung', 'politik', 'identitas', 'jual', 'ayat', 'mayat']",-7,negatif
ğŸ¤£ğŸ¤£ğŸ¤£ sibego marah,"['', 'sibego', 'marah']",-5,negatif
bikin blunder lagi lai,"['bikin', 'blunder', 'lai']",0,netral
pdip bakal pusing cari lawan yang sebanding dengan anies baswedan,"['pdip', 'pusing', 'cari', 'lawan', 'banding', 'anies', 'baswedan']",-10,negatif
sepertinya  ditarget ri  harun masiku tak jelas keberadaan nya,"['target', 'ri', 'harun', 'mas', 'ada', 'nya']",1,positif
bna   dulu boikot nasdem,"['bna', 'boikot', 'nasdem']",0,netral
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          ya kita saksikan aja nanti mana yg akurat ğŸ¤­,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'ya', 'saksi', 'aja', 'yg', 'akurat', '']",2,positif
ah anak kmrn sore aja loe,"['ah', 'anak', 'kmrn', 'sore', 'aja', 'loe']",-2,negatif
semuanya akan berakhirnya insyallah dengan pak  menjadi presiden ri  insyallah,"['insyallah', 'presiden', 'ri', 'insyallah']",3,positif
entah kenapa setelah  deklarasi   calon presiden tiba tiba nasdem mendapat pembelaan dari orang yg selama ini membenci nasdem dr  org yg gampang mengkafirkan dr yg gampang mendungu dungukan orang lain,"['deklarasi', 'calon', 'presiden', 'nasdem', 'bela', 'orang', 'yg', 'benci', 'nasdem', 'dr', 'org', 'yg', 'gampang', 'kafir', 'dr', 'yg', 'gampang', 'dungu', 'dungu', 'orang']",-9,negatif
nasdem menjilat ludahnya sendiri,"['nasdem', 'jilat', 'ludah']",-3,negatif
belum ada bukti video tentang muhammadiyah resmi usung anies di pilpres,"['bukti', 'video', 'muhammadiyah', 'resmi', 'usung', 'anies', 'pilpres']",-1,negatif
waras  waktunya indonesia mandiri pangan,"['waras', 'indonesia', 'mandiri', 'pangan']",-4,negatif
nasdem usung anies baswedan sebagai capres begini respon puan maharani,"['nasdem', 'usung', 'anies', 'baswedan', 'capres', 'respon', 'puan', 'maharani']",2,positif
kebobrokan merupakan nama asli anies baswedan,"['bobrok', 'nama', 'asli', 'anies', 'baswedan']",-3,negatif
paham anies gak bisa kerja bisanya hanya membual karena unsur kepentingan cuan dan akan gampang sekali nasdem setir aniesya kansaya yakin semesta tidak akan tinggal diam melihat kejahatan kalian untuk memporak porandakan indonesia tercinta,"['paham', 'anies', 'gak', 'kerja', 'bisa', 'bual', 'unsur', 'penting', 'cuan', 'gampang', 'nasdem', 'setir', 'aniesya', 'kansaya', 'semesta', 'tinggal', 'diam', 'jahat', 'memporak', 'porandakan', 'indonesia', 'cinta']",-7,negatif
pdip bakal kesulitan cari capres hadapi anies baswedan,"['pdip', 'sulit', 'cari', 'capres', 'hadap', 'anies', 'baswedan']",-3,negatif
emang anies knp uda,"['emang', 'anies', 'knp', 'uda']",0,netral
gubernur banjir,"['gubernur', 'banjir']",0,netral
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          saya lbh percaya ri dripda media,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'lbh', 'percaya', 'ri', 'dripda', 'media']",-2,negatif
geenon    anaklolina     nakula   la sajak  asmara        waras   anies      dpn         sama kaca ğŸ¤­ğŸ¤­,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'kaca', '']",-4,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          bukan urusan saya itu urusan mereka napa lu tanya kesayahubgangnya sama aku apağŸ¤£ğŸ¤£dasar kadrun tolol,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'urus', 'urus', 'napa', 'lu', 'kesayahubgangnya', 'apa dasar', 'kadrun', 'tolol']",-11,negatif
transjakarta kenapa sekarang dipersulit naik busway di halte blok m juga harus tap ulang untuk transit,"['transjakarta', 'sulit', 'busway', 'halte', 'blok', 'm', 'tap', 'ulang', 'transit']",0,netral
yuntho  mau kaget tapi sudah biasa dengan narasi non muslim merasa terdzolimi oleh muslim karena mereka minoritas,"['yuntho', 'kaget', 'narasi', 'non', 'muslim', 'terdzolimi', 'muslim', 'minoritas']",2,positif
nasdem akan bersih dengan sendirinya setelah memilih anies baswedan sebagai capres,"['nasdem', 'bersih', 'pilih', 'anies', 'baswedan', 'capres']",-2,negatif
yuntho  ternyata bunyi kentut pun bisa keluar dr mulut mu sonâ—ğŸ¤£,"['yuntho', 'bunyi', 'kentut', 'dr', 'mulut', 'mu', 'son']",-2,negatif
selamat untuk bapak  kami akan mendukungmu sampai mencapai impian menjadi presiden ri  ğŸ’ªğŸ’ª,"['selamat', 'dukung', 'capai', 'impi', 'presiden', 'ri', '']",11,positif
polri  ya pelajaran kalau milih menteri ya sesuai dengan bidangnya laah  dan non partai cth  menteri puprajib toh,"['polri', 'ya', 'ajar', 'milih', 'menteri', 'ya', 'sesuai', 'bidang', 'laah', 'non', 'partai', 'cth', 'menteri', 'puprajib']",7,positif
yuntho  pas masa masa kampanye nanti ada ga stasiun televisi yg penyiarannya tidak berimbang ya menguntungkan salah satu pihak ğŸ¤ªğŸ¤ªğŸ¤ª,"['yuntho', 'pas', 'kampanye', 'ga', 'stasiun', 'televisi', 'yg', 'siar', 'imbang', 'ya', 'untung', 'salah', '']",7,positif
saewad,['saewad'],0,netral
silahkan di lanjut gapi jangan maksakan kehendak yg mestinya bukan oerkara pidana yg karena pejabat di paksa ke ranah pidana silahkan  diproses secara adil dan transparan mas anis tidak akan mangkir karena dia menghormati hukum tapi jangan seperti yg di bilang pakar ini ya,"['silah', 'gap', 'maksakan', 'hendak', 'yg', 'mesti', 'oerkara', 'pidana', 'yg', 'jabat', 'paksa', 'ranah', 'pidana', 'silah', 'proses', 'adil', 'transparan', 'mas', 'anis', 'mangkir', 'hormat', 'hukum', 'yg', 'bilang', 'pakar', 'ya']",1,positif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          aku gak percaya biar lu ajaterus klo aku gak percaya tempo lo maksasiapa kamu ğŸ¤£ğŸ¤£ğŸ¤£,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'gak', 'percaya', 'biar', 'lu', 'ajaterus', 'klo', 'gak', 'percaya', 'tempo', 'lo', 'maksasiapa', '']",-5,negatif
karena ada  jd inget iklan teh apapun salah nya tetap anies sasarannya ğŸ˜€,"['jd', 'inget', 'iklan', 'teh', 'apa', 'salah', 'nya', 'anies', 'sasar', '']",-6,negatif
anggaran masuk nomor  tapi di hide hkhkhkhkhkhk,"['anggar', 'masuk', 'nomor', 'hide', 'hkhkhkhkhkhk']",0,netral
congratulation,['congratulation'],0,netral
surya paloh pimpin doa dan mengheningkan cipta musibah kanjuruhan   doa dilakukan di awal sebelum deklarasi anies baswedan sebagai capres dari partai nasdem,"['surya', 'paloh', 'pimpin', 'doa', 'hening', 'cipta', 'musibah', 'kanjuruhan', 'doa', 'deklarasi', 'anies', 'baswedan', 'capres', 'partai', 'nasdem']",-8,negatif
saewad  mereka gak akan punya urat malu,"['saewad', 'gak', 'urat', 'malu']",-2,negatif
geenon   anaklolina     nakula   la sajak  asmara        waras   anies      dpn          media itu belum tentu akurat drun itu sumbernya jga kata orngkatanya lgi,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'media', 'akurat', 'drun', 'sumber', 'jga', 'orngkatanya', 'lgi']",-4,negatif
saewad  abah dn keluarga abah akan berusaha sekuat dn semampu abah  untuk,"['saewad', 'abah', 'dn', 'keluarga', 'abah', 'usaha', 'kuat', 'dn', 'abah']",6,positif
kami dari jakarta bersama pak  untuk indonesia yang bermartabat,"['jakarta', 'indonesia', 'martabat']",5,positif
bener sekali kata partai nasdem yang gak lama lagi akan segera berakhir tenggelam bersama anies baswedan sang pembohong,"['bener', 'partai', 'nasdem', 'gak', 'tenggelam', 'anies', 'baswedan', 'sang', 'bohong']",-3,negatif
memilih aniesnasdem anti klimaks alias bego     ketua dpp partai nasdem niluh djelantik mengundurkan diri usai partainya mendeklarasikan anies baswedan niluh merupakan politikus sekaligus pengusaha,"['pilih', 'aniesnasdem', 'anti', 'klimaks', 'alias', 'bego', 'ketua', 'dpp', 'partai', 'nasdem', 'niluh', 'djelantik', 'undur', 'partai', 'deklarasi', 'anies', 'baswedan', 'niluh', 'politikus', 'usaha']",-10,negatif
bukannya ingin menjadikan nkri menjadi nii pak   malu bgt mau ngomong kayak gt,"['jadi', 'nkri', 'nii', 'malu', 'bgt', 'ngomong', 'kayak', 'gt']",-6,negatif
geenon    anaklolina     nakula   la sajak  asmara        waras   anies      dpn         ğŸ¤£ğŸ¤£ğŸ¤£takut ma sapa ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ¤£ğŸ¤£,"['geenon', 'anaklolina', 'nakula', 'la', 'sajak', 'asmara', 'waras', 'anies', 'dpn', 'takut', 'ma', 'sapa', '']",-7,negatif
makin rontok selesai deklarasi  usung,"['rontok', 'selesai', 'deklarasi', 'usung']",-7,negatif
agever   emang kalo ngoceh hrs gedek gitu ya ğŸ˜œğŸ˜œ,"['agever', 'emang', 'kalo', 'ngoceh', 'hrs', 'gedek', 'gitu', 'ya', '']",4,positif
saewad  tak ada asap kalau tak ada apikarena naik jadi gabener aja jualan ayat sama mayat apalagi kalau jadi ri sa kuburane dijual semua,"['saewad', 'asap', 'apikarena', 'gabener', 'aja', 'jual', 'ayat', 'mayat', 'ri', 'sa', 'kuburane', 'jual']",-5,negatif
ribuan orang siap bergabung ke nasdem pks dan demokrat untuk memenangkan anies baswedan,"['ribu', 'orang', 'gabung', 'nasdem', 'pks', 'demokrat', 'menang', 'anies', 'baswedan']",-6,negatif
beneran nih,"['beneran', 'nih']",3,positif
